# Hand-authored from Bulbapedia's Pokemon Red/Blue trainer data: gym leaders and Elite Four, full real teams (species/level/moveset kept verbatim, including duplicate species)
"order","leader","badge","type","team"
"1","Brock","Boulder Badge","Rock","74:12:33-111;95:14:33-103-117"
"2","Misty","Cascade Badge","Water","120:18:33-55;121:21:33-55-61"
"3","Lt. Surge","Thunder Badge","Electric","100:21:33-103-49;25:18:84-45-86-98;26:24:84-45-85"
"4","Erika","Rainbow Badge","Grass","114:24:132-20;71:29:75-35-77-79;45:29:80-77-72-79"
"5","Koga","Soul Badge","Poison","109:37:33-123-124-108;89:39:50-139-107-124;109:37:33-123-124-108;110:43:123-124-92-120"
"6","Sabrina","Marsh Badge","Psychic","64:38:50-60-105-94;122:37:93-112-113-3;49:38:77-141-78-60;65:43:60-105-149-115"
"7","Blaine","Volcano Badge","Fire","58:42:52-43-36-97;77:40:39-23-45-83;78:42:39-23-45-83;59:47:46-52-126-36"
"8","Giovanni","Earth Badge","Ground","111:45:23-39-31-32;51:42:45-91-28-163;31:44:10-39-34-40;34:45:33-30-40-37;112:50:23-39-90-32"
"9","Lorelei","None","Ice","87:54:45-62-156-36;91:53:48-128-62-131;80:54:45-55-110-133;124:56:3-8-34-37;131:56:34-109-59-56"
"10","Bruno","None","Fighting","95:53:88-99-21-106;107:55:8-9-5-68;106:55:26-116-136-25;95:56:88-99-21-106;68:58:43-116-90-66"
"11","Agatha","None","Ghost","94:56:109-101-95-138;42:56:48-109-17-114;93:55:109-101-95-138;24:58:44-137-103-51;94:60:109-101-92-138"
"12","Lance","None","Dragon","130:58:82-43-56-63;148:56:97-21-82-63;148:56:97-21-82-63;142:60:48-44-36-63;149:62:97-21-112-63"
"13","Blue","None","Normal","18:61:17-119-143-18;65:59:60-94-115-105;112:61:43-39-31-32;103:61:95-140-23;130:63:82-56-63-43;6:65:126-99-163-83"
