# Hand-authored: Generation I (Red/Blue) items, ids 1-6 pinned to EvolutionItem
"id","name","category","effect_value","cures_ailment","teaches_move_id","drop_weight"
"1","Moon Stone","Stone","0","None","0","8"
"2","Fire Stone","Stone","0","None","0","8"
"3","Thunder Stone","Stone","0","None","0","8"
"4","Water Stone","Stone","0","None","0","8"
"5","Leaf Stone","Stone","0","None","0","8"
"6","Link Cable","Stone","0","None","0","8"
"7","Poke Ball","Ball","10","None","0","40"
"8","Great Ball","Ball","15","None","0","20"
"9","Ultra Ball","Ball","20","None","0","8"
"10","Master Ball","Ball","255","None","0","1"
"11","Potion","Medicine","20","None","0","60"
"12","Super Potion","Medicine","50","None","0","30"
"13","Hyper Potion","Medicine","200","None","0","12"
"14","Max Potion","Medicine","255","None","0","5"
"15","Revive","Medicine","50","None","0","10"
"16","Max Revive","Medicine","100","None","0","3"
"17","Full Restore","Medicine","255","All","0","6"
"18","Antidote","StatusCure","0","Poison","0","25"
"19","Burn Heal","StatusCure","0","Burn","0","20"
"20","Ice Heal","StatusCure","0","Freeze","0","18"
"21","Awakening","StatusCure","0","Sleep","0","20"
"22","Paralyze Heal","StatusCure","0","Paralysis","0","22"
"23","Full Heal","StatusCure","0","All","0","10"
"24","Rare Candy","Candy","1","None","0","4"
"25","Ether","PPRestore","10","None","0","15"
"26","Max Ether","PPRestore","255","None","0","5"
"27","Elixir","PPRestore","10","None","0","8"
"28","Max Elixir","PPRestore","255","None","0","3"
"29","TM01","Machine","0","None","5","6"
"30","TM02","Machine","0","None","13","6"
"31","TM03","Machine","0","None","14","6"
"32","TM04","Machine","0","None","18","6"
"33","TM05","Machine","0","None","25","6"
"34","TM06","Machine","0","None","92","6"
"35","TM07","Machine","0","None","32","6"
"36","TM08","Machine","0","None","34","6"
"37","TM09","Machine","0","None","36","6"
"38","TM10","Machine","0","None","38","6"
"39","TM11","Machine","0","None","61","6"
"40","TM12","Machine","0","None","55","6"
"41","TM13","Machine","0","None","58","6"
"42","TM14","Machine","0","None","59","6"
"43","TM15","Machine","0","None","63","6"
"44","TM16","Machine","0","None","6","6"
"45","TM17","Machine","0","None","66","6"
"46","TM18","Machine","0","None","68","6"
"47","TM19","Machine","0","None","69","6"
"48","TM20","Machine","0","None","99","6"
"49","TM21","Machine","0","None","72","6"
"50","TM22","Machine","0","None","76","6"
"51","TM23","Machine","0","None","82","6"
"52","TM24","Machine","0","None","85","6"
"53","TM25","Machine","0","None","87","6"
"54","TM26","Machine","0","None","89","6"
"55","TM27","Machine","0","None","90","6"
"56","TM28","Machine","0","None","91","6"
"57","TM29","Machine","0","None","94","6"
"58","TM30","Machine","0","None","100","6"
"59","TM31","Machine","0","None","102","6"
"60","TM32","Machine","0","None","104","6"
"61","TM33","Machine","0","None","115","6"
"62","TM34","Machine","0","None","117","6"
"63","TM35","Machine","0","None","118","6"
"64","TM36","Machine","0","None","120","6"
"65","TM37","Machine","0","None","121","6"
"66","TM38","Machine","0","None","126","6"
"67","TM39","Machine","0","None","129","6"
"68","TM40","Machine","0","None","130","6"
"69","TM41","Machine","0","None","135","6"
"70","TM42","Machine","0","None","138","6"
"71","TM43","Machine","0","None","143","6"
"72","TM44","Machine","0","None","156","6"
"73","TM45","Machine","0","None","86","6"
"74","TM46","Machine","0","None","149","6"
"75","TM47","Machine","0","None","153","6"
"76","TM48","Machine","0","None","157","6"
"77","TM49","Machine","0","None","161","6"
"78","TM50","Machine","0","None","164","6"
"79","HM01","Machine","0","None","15","2"
"80","HM02","Machine","0","None","19","2"
"81","HM03","Machine","0","None","57","2"
"82","HM04","Machine","0","None","70","2"
"83","HM05","Machine","0","None","148","2"
"84","PP Up","PpUp","0","None","0","4"
"85","X Attack","BattleBoost","0","None","0","4"
"86","X Defense","BattleBoost","0","None","0","4"
"87","X Speed","BattleBoost","0","None","0","4"
"88","X Special","BattleBoost","0","None","0","4"
"89","Guard Spec.","BattleBoost","0","None","0","3"
"90","Dire Hit","BattleBoost","0","None","0","3"
