# PokeAPI https://pokeapi.co/api/v2 - generation-i / red-blue
"species_id","level","move_id"
"1","1","33"
"1","1","45"
"1","7","73"
"1","13","22"
"1","20","77"
"1","27","75"
"1","34","74"
"1","41","79"
"1","48","76"
"2","1","33"
"2","1","45"
"2","1","73"
"2","13","22"
"2","22","77"
"2","30","75"
"2","38","74"
"2","46","79"
"2","54","76"
"3","1","22"
"3","1","33"
"3","1","45"
"3","1","73"
"3","22","77"
"3","30","75"
"3","43","74"
"3","55","79"
"3","65","76"
"4","1","10"
"4","1","45"
"4","9","52"
"4","15","43"
"4","22","99"
"4","30","163"
"4","38","53"
"4","46","83"
"5","1","10"
"5","1","45"
"5","1","52"
"5","15","43"
"5","24","99"
"5","33","163"
"5","42","53"
"5","56","83"
"6","1","10"
"6","1","43"
"6","1","45"
"6","1","52"
"6","24","99"
"6","36","163"
"6","46","53"
"6","55","83"
"7","1","33"
"7","1","39"
"7","8","145"
"7","15","55"
"7","22","44"
"7","28","110"
"7","35","130"
"7","42","56"
"8","1","33"
"8","1","39"
"8","1","145"
"8","15","55"
"8","24","44"
"8","31","110"
"8","39","130"
"8","47","56"
"9","1","33"
"9","1","39"
"9","1","55"
"9","1","145"
"9","24","44"
"9","31","110"
"9","42","130"
"9","52","56"
"10","1","33"
"10","1","81"
"11","1","106"
"12","1","93"
"12","15","77"
"12","16","78"
"12","17","79"
"12","21","48"
"12","26","18"
"12","32","60"
"13","1","40"
"13","1","81"
"14","1","106"
"15","1","31"
"15","16","116"
"15","20","41"
"15","25","99"
"15","30","42"
"15","35","97"
"16","1","16"
"16","5","28"
"16","12","98"
"16","19","18"
"16","28","17"
"16","36","97"
"16","44","119"
"17","1","16"
"17","1","28"
"17","12","98"
"17","21","18"
"17","31","17"
"17","40","97"
"17","49","119"
"18","1","16"
"18","1","28"
"18","1","98"
"18","21","18"
"18","31","17"
"18","44","97"
"18","54","119"
"19","1","33"
"19","1","39"
"19","7","98"
"19","14","158"
"19","23","116"
"19","34","162"
"20","1","33"
"20","1","39"
"20","1","98"
"20","14","158"
"20","27","116"
"20","41","162"
"21","1","45"
"21","1","64"
"21","9","43"
"21","15","31"
"21","22","119"
"21","29","65"
"21","36","97"
"22","1","43"
"22","1","45"
"22","1","64"
"22","15","31"
"22","25","119"
"22","34","65"
"22","43","97"
"23","1","35"
"23","1","43"
"23","10","40"
"23","17","44"
"23","24","137"
"23","31","103"
"23","38","51"
"24","1","35"
"24","1","40"
"24","1","43"
"24","17","44"
"24","27","137"
"24","36","103"
"24","47","51"
"25","1","45"
"25","1","84"
"25","9","86"
"25","16","98"
"25","26","129"
"25","33","97"
"25","43","87"
"26","1","45"
"26","1","84"
"26","1","86"
"27","1","10"
"27","10","28"
"27","17","163"
"27","24","40"
"27","31","129"
"27","38","154"
"28","1","10"
