# PokeAPI https://pokeapi.co/api/v2 - generation-i / red-blue
"id","name","type","power","accuracy","pp","damage_class","ailment","ailment_chance"
"1","Pound","Normal","40","100","35","physical","None","0"
"2","Karate-Chop","Fighting","50","100","25","physical","None","0"
"3","Double-Slap","Normal","15","85","10","physical","None","0"
"4","Comet-Punch","Normal","18","85","15","physical","None","0"
"5","Mega-Punch","Normal","80","85","20","physical","None","0"
"6","Pay-Day","Normal","40","100","20","physical","None","0"
"7","Fire-Punch","Fire","75","100","15","physical","Burn","10"
"8","Ice-Punch","Ice","75","100","15","physical","Freeze","10"
"9","Thunder-Punch","Electric","75","100","15","physical","Paralysis","10"
"10","Scratch","Normal","40","100","35","physical","None","0"
"11","Vice-Grip","Normal","55","100","30","physical","None","0"
"12","Guillotine","Normal","0","30","5","physical","None","0"
"13","Razor-Wind","Normal","80","100","10","special","None","0"
"14","Swords-Dance","Normal","0","0","20","status","None","0"
"15","Cut","Normal","50","95","30","physical","None","0"
"16","Gust","Flying","40","100","35","special","None","0"
"17","Wing-Attack","Flying","60","100","35","physical","None","0"
"18","Whirlwind","Normal","0","0","20","status","None","0"
"19","Fly","Flying","90","95","15","physical","None","0"
"20","Bind","Normal","15","85","20","physical","None","100"
"21","Slam","Normal","80","75","20","physical","None","0"
"22","Vine-Whip","Grass","45","100","25","physical","None","0"
"23","Stomp","Normal","65","100","20","physical","None","0"
"24","Double-Kick","Fighting","30","100","30","physical","None","0"
"25","Mega-Kick","Normal","120","75","5","physical","None","0"
"26","Jump-Kick","Fighting","100","95","10","physical","None","0"
"27","Rolling-Kick","Fighting","60","85","15","physical","None","0"
"28","Sand-Attack","Ground","0","100","15","status","None","0"
"29","Headbutt","Normal","70","100","15","physical","None","0"
"30","Horn-Attack","Normal","65","100","25","physical","None","0"
"31","Fury-Attack","Normal","15","85","20","physical","None","0"
"32","Horn-Drill","Normal","0","30","5","physical","None","0"
"33","Tackle","Normal","40","100","35","physical","None","0"
"34","Body-Slam","Normal","85","100","15","physical","Paralysis","30"
"35","Wrap","Normal","15","90","20","physical","None","100"
"36","Take-Down","Normal","90","85","20","physical","None","0"
"37","Thrash","Normal","120","100","10","physical","None","0"
"38","Double-Edge","Normal","120","100","15","physical","None","0"
"39","Tail-Whip","Normal","0","100","30","status","None","0"
"40","Poison-Sting","Poison","15","100","35","physical","Poison","30"
"41","Twineedle","Bug","25","100","20","physical","Poison","20"
"42","Pin-Missile","Bug","25","95","20","physical","None","0"
"43","Leer","Normal","0","100","30","status","None","0"
"44","Bite","Dark","60","100","25","physical","None","0"
"45","Growl","Normal","0","100","40","status","None","0"
"46","Roar","Normal","0","0","20","status","None","0"
"47","Sing","Normal","0","55","15","status","Sleep","0"
"48","Supersonic","Normal","0","55","20","status","Confusion","0"
"49","Sonic-Boom","Normal","0","90","20","special","None","0"
"50","Disable","Normal","0","100","20","status","None","0"
"51","Acid","Poison","40","100","30","special","None","0"
"52","Ember","Fire","40","100","25","special","Burn","10"
"53","Flamethrower","Fire","90","100","15","special","Burn","10"
"54","Mist","Ice","0","0","30","status","None","0"
"55","Water-Gun","Water","40","100","25","special","None","0"
"56","Hydro-Pump","Water","110","80","5","special","None","0"
"57","Surf","Water","90","100","15","special","None","0"
"58","Ice-Beam","Ice","90","100","10","special","Freeze","10"
"59","Blizzard","Ice","110","70","5","special","Freeze","10"
"60","Psybeam","Psychic","65","100","20","special","Confusion","10"
"61","Bubble-Beam","Water","65","100","20","special","None","0"
"62","Aurora-Beam","Ice","65","100","20","special","None","0"
"63","Hyper-Beam","Normal","150","90","5","special","None","0"
"64","Peck","Flying","35","100","35","physical","None","0"
"65","Drill-Peck","Flying","80","100","20","physical","None","0"
"66","Submission","Fighting","80","80","20","physical","None","0"
"67","Low-Kick","Fighting","0","100","20","physical","None","0"
"68","Counter","Fighting","0","100","20","physical","None","0"
"69","Seismic-Toss","Fighting","0","100","20","physical","None","0"
"70","Strength","Normal","80","100","15","physical","None","0"
"71","Absorb","Grass","20","100","25","special","None","0"
"72","Mega-Drain","Grass","40","100","15","special","None","0"
"73","Leech-Seed","Grass","0","90","10","status","None","0"
"74","Growth","Normal","0","0","20","status","None","0"
"75","Razor-Leaf","Grass","55","95","25","physical","None","0"
"76","Solar-Beam","Grass","120","100","10","special","None","0"
"77","Poison-Powder","Poison","0","75","35","status","Poison","0"
"78","Stun-Spore","Grass","0","75","30","status","Paralysis","0"
"79","Sleep-Powder","Grass","0","75","15","status","Sleep","0"
"80","Petal-Dance","Grass","120","100","10","special","None","0"
"81","String-Shot","Bug","0","95","40","status","None","0"
"82","Dragon-Rage","Dragon","0","100","10","special","None","0"
"83","Fire-Spin","Fire","35","85","15","special","None","100"
"84","Thunder-Shock","Electric","40","100","30","special","Paralysis","10"
"85","Thunderbolt","Electric","90","100","15","special","Paralysis","10"
"86","Thunder-Wave","Electric","0","90","20","status","Paralysis","0"
"87","Thunder","Electric","110","70","10","special","Paralysis","30"
"88","Rock-Throw","Rock","50","90","15","physical","None","0"
"89","Earthquake","Ground","100","100","10","physical","None","0"
