# PokeAPI https://pokeapi.co/api/v2 - generation-i / red-blue
"id","name","hp","attack","defense","special","speed","ev_hp","ev_attack","ev_defense","ev_special","ev_speed"
"1","Bulbasaur","45","49","49","65","45","0","0","0","1","0"
"2","Ivysaur","60","62","63","80","60","0","0","0","1","0"
"3","Venusaur","80","82","83","100","80","0","0","0","2","0"
"4","Charmander","39","52","43","60","65","0","0","0","0","1"
"5","Charmeleon","58","64","58","80","80","0","0","0","1","1"
"6","Charizard","78","84","78","109","100","0","0","0","3","0"
"7","Squirtle","44","48","65","50","43","0","0","1","0","0"
"8","Wartortle","59","63","80","65","58","0","0","1","0","0"
"9","Blastoise","79","83","100","85","78","0","0","0","0","0"
"10","Caterpie","45","30","35","20","45","1","0","0","0","0"
"11","Metapod","50","20","55","25","30","0","0","2","0","0"
"12","Butterfree","60","45","50","90","70","0","0","0","2","0"
"13","Weedle","40","35","30","20","50","0","0","0","0","1"
"14","Kakuna","45","25","50","25","35","0","0","2","0","0"
"15","Beedrill","65","90","40","45","75","0","2","0","0","0"
"16","Pidgey","40","45","40","35","56","0","0","0","0","1"
"17","Pidgeotto","63","60","55","50","71","0","0","0","0","2"
"18","Pidgeot","83","80","75","70","101","0","0","0","0","3"
"19","Rattata","30","56","35","25","72","0","0","0","0","1"
"20","Raticate","55","81","60","50","97","0","0","0","0","2"
"21","Spearow","40","60","30","31","70","0","0","0","0","1"
"22","Fearow","65","90","65","61","100","0","0","0","0","2"
"23","Ekans","35","60","44","40","55","0","1","0","0","0"
"24","Arbok","60","95","69","65","80","0","2","0","0","0"
"25","Pikachu","35","55","40","50","90","0","0","0","0","2"
"26","Raichu","60","90","55","90","110","0","0","0","0","3"
"27","Sandshrew","50","75","85","20","40","0","0","1","0","0"
"28","Sandslash","75","100","110","45","65","0","0","2","0","0"
"29","Nidoran-F","55","47","52","40","41","1","0","0","0","0"
"30","Nidorina","70","62","67","55","56","2","0","0","0","0"
"31","Nidoqueen","90","92","87","75","76","3","0","0","0","0"
"32","Nidoran-M","46","57","40","40","50","0","1","0","0","0"
"33","Nidorino","61","72","57","55","65","0","2","0","0","0"
"34","Nidoking","81","102","77","85","85","0","3","0","0","0"
"35","Clefairy","70","45","48","60","35","2","0","0","0","0"
"36","Clefable","95","70","73","95","60","3","0","0","0","0"
"37","Vulpix","38","41","40","50","65","0","0","0","0","1"
"38","Ninetales","73","76","75","81","100","0","0","0","0","1"
"39","Jigglypuff","115","45","20","45","20","2","0","0","0","0"
"40","Wigglytuff","140","70","45","85","45","3","0","0","0","0"
"41","Zubat","40","45","35","30","55","0","0","0","0","1"
"42","Golbat","75","80","70","65","90","0","0","0","0","2"
"43","Oddish","45","50","55","75","30","0","0","0","1","0"
"44","Gloom","60","65","70","85","40","0","0","0","2","0"
"45","Vileplume","75","80","85","110","50","0","0","0","3","0"
"46","Paras","35","70","55","45","25","0","1","0","0","0"
"47","Parasect","60","95","80","60","30","0","2","1","0","0"
"48","Venonat","60","55","50","40","45","0","0","0","0","0"
"49","Venomoth","70","65","60","90","90","0","0","0","1","1"
"50","Diglett","10","55","25","35","95","0","0","0","0","1"
"51","Dugtrio","35","100","50","50","120","0","0","0","0","2"
"52","Meowth","40","45","35","40","90","0","0","0","0","1"
"53","Persian","65","70","60","65","115","0","0","0","0","2"
"54","Psyduck","50","52","48","65","55","0","0","0","1","0"
"55","Golduck","80","82","78","95","85","0","0","0","2","0"
"56","Mankey","40","80","35","35","70","0","1","0","0","0"
"57","Primeape","65","105","60","60","95","0","2","0","0","0"
"58","Growlithe","55","70","45","70","60","0","1","0","0","0"
"59","Arcanine","90","110","80","100","95","0","2","0","0","0"
"60","Poliwag","40","50","40","40","90","0","0","0","0","1"
"61","Poliwhirl","65","65","65","50","90","0","0","0","0","2"
"62","Poliwrath","90","95","95","70","70","0","0","3","0","0"
"63","Abra","25","20","15","105","90","0","0","0","1","0"
"64","Kadabra","40","35","30","120","105","0","0","0","2","0"
"65","Alakazam","55","50","45","135","120","0","0","0","3","0"
"66","Machop","70","80","50","35","35","0","1","0","0","0"
"67","Machoke","80","100","70","50","45","0","2","0","0","0"
"68","Machamp","90","130","80","65","55","0","3","0","0","0"
"69","Bellsprout","50","75","35","70","40","0","1","0","0","0"
"70","Weepinbell","65","90","50","85","55","0","2","0","0","0"
"71","Victreebel","80","105","65","100","70","0","3","0","0","0"
"72","Tentacool","40","40","35","50","70","0","0","0","0","0"
"73","Tentacruel","80","70","65","80","100","0","0","0","0","0"
"74","Geodude","40","80","100","30","20","0","0","1","0","0"
"75","Graveler","55","95","115","45","35","0","0","2","0","0"
"76","Golem","80","120","130","55","45","0","0","3","0","0"
"77","Ponyta","50","85","55","65","90","0","0","0","0","1"
"78","Rapidash","65","100","70","80","105","0","0","0","0","2"
"79","Slowpoke","90","65","65","40","15","1","0","0","0","0"
"80","Slowbro","95","75","110","100","30","0","0","2","0","0"
"81","Magnemite","25","35","70","95","45","0","0","0","1","0"
"82","Magneton","50","60","95","120","70","0","0","0","2","0"
"83","Farfetchd","52","90","55","58","60","0","1","0","0","0"
"84","Doduo","35","85","45","35","75","0","1","0","0","0"
"85","Dodrio","60","110","70","60","110","0","2","0","0","0"
"86","Seel","65","45","55","45","45","0","0","0","0","0"
"87","Dewgong","90","70","80","70","70","0","0","0","0","0"
"88","Grimer","80","80","50","40","25","1","0","0","0","0"
"89","Muk","105","105","75","65","50","1","1","0","0","0"
"90","Shellder","30","65","100","45","40","0","0","1","0","0"
"91","Cloyster","50","95","180","85","70","0","0","2","0","0"
"92","Gastly","30","35","30","100","80","0","0","0","1","0"
"93","Haunter","45","50","45","115","95","0","0","0","2","0"
"94","Gengar","60","65","60","130","110","0","0","0","3","0"
"95","Onix","35","45","160","30","70","0","0","1","0","0"
"96","Drowzee","60","48","45","43","42","0","0","0","0","0"
"97","Hypno","85","73","70","73","67","0","0","0","0","0"
"98","Krabby","30","105","90","25","50","0","1","0","0","0"
"99","Kingler","55","130","115","50","75","0","2","0","0","0"
"100","Voltorb","40","30","50","55","100","0","0","0","0","1"
"101","Electrode","60","50","70","80","150","0","0","0","0","2"
"102","Exeggcute","60","40","80","60","40","0","0","1","0","0"
"103","Exeggutor","95","95","85","125","55","0","0","0","2","0"
"104","Cubone","50","50","95","40","35","0","0","1","0","0"
"105","Marowak","60","80","110","50","45","0","0","2","0","0"
"106","Hitmonlee","50","120","53","35","87","0","2","0","0","0"
"107","Hitmonchan","50","105","79","35","76","0","0","0","0","0"
"108","Lickitung","90","55","75","60","30","2","0","0","0","0"
"109","Koffing","40","65","95","60","35","0","0","1","0","0"
"110","Weezing","65","90","120","85","60","0","0","2","0","0"
"111","Rhyhorn","80","85","95","30","25","0","0","1","0","0"
"112","Rhydon","105","130","120","45","40","0","2","0","0","0"
"113","Chansey","250","5","5","35","50","2","0","0","0","0"
"114","Tangela","65","55","115","100","60","0","0","1","0","0"
"115","Kangaskhan","105","95","80","40","90","2","0","0","0","0"
"116","Horsea","30","40","70","70","60","0","0","0","1","0"
"117","Seadra","55","65","95","95","85","0","0","1","1","0"
"118","Goldeen","45","67","60","35","63","0","1","0","0","0"
"119","Seaking","80","92","65","65","68","0","2","0","0","0"
"120","Staryu","30","45","55","70","85","0","0","0","0","1"
"121","Starmie","60","75","85","100","115","0","0","0","0","2"
"122","Mr-Mime","40","45","65","100","90","0","0","0","0","0"
"123","Scyther","70","110","80","55","105","0","1","0","0","0"
"124","Jynx","65","50","35","115","95","0","0","0","2","0"
"125","Electabuzz","65","83","57","95","105","0","0","0","0","2"
"126","Magmar","65","95","57","100","93","0","0","0","2","0"
"127","Pinsir","65","125","100","55","85","0","2","0","0","0"
"128","Tauros","75","100","95","40","110","0","1","0","0","1"
"129","Magikarp","20","10","55","15","80","0","0","0","0","1"
"130","Gyarados","95","125","79","60","81","0","2","0","0","0"
"131","Lapras","130","85","80","85","60","2","0","0","0","0"
"132","Ditto","48","48","48","48","48","1","0","0","0","0"
"133","Eevee","55","55","50","45","55","0","0","0","0","0"
"134","Vaporeon","130","65","60","110","65","2","0","0","0","0"
"135","Jolteon","65","65","60","110","130","0","0","0","0","2"
"136","Flareon","65","130","60","95","65","0","2","0","0","0"
"137","Porygon","65","60","70","85","40","0","0","0","1","0"
"138","Omanyte","35","40","100","90","35","0","0","1","0","0"
"139","Omastar","70","60","125","115","55","0","0","2","0","0"
"140","Kabuto","30","80","90","55","55","0","0","1","0","0"
"141","Kabutops","60","115","105","65","80","0","2","0","0","0"
"142","Aerodactyl","80","105","65","60","130","0","0","0","0","2"
"143","Snorlax","160","110","65","65","30","2","0","0","0","0"
"144","Articuno","90","85","100","95","85","0","0","0","0","0"
"145","Zapdos","90","90","85","125","100","0","0","0","3","0"
"146","Moltres","90","100","90","125","90","0","0","0","3","0"
"147","Dratini","41","64","45","50","50","0","1","0","0","0"
"148","Dragonair","61","84","65","70","70","0","2","0","0","0"
"149","Dragonite","91","134","95","100","80","0","3","0","0","0"
"150","Mewtwo","106","110","90","154","130","0","0","0","3","0"
"151","Mew","100","100","100","100","100","3","0","0","0","0"
