# PokeAPI https://pokeapi.co/api/v2 - generation-i / red-blue
"species_id","move_id"
"1","14"
"1","15"
"1","34"
"1","36"
"1","38"
"1","72"
"1","76"
"1","92"
"1","99"
"1","102"
"1","104"
"1","115"
"1","117"
"1","156"
"1","164"
"2","14"
"2","15"
"2","34"
"2","36"
"2","38"
"2","72"
"2","76"
"2","92"
"2","99"
"2","102"
"2","104"
"2","115"
"2","117"
"2","156"
"2","164"
"3","14"
"3","15"
"3","34"
"3","36"
"3","38"
"3","63"
"3","72"
"3","76"
"3","92"
"3","99"
"3","102"
"3","104"
"3","115"
"3","117"
"3","156"
"3","164"
"4","5"
"4","14"
"4","15"
"4","25"
"4","34"
"4","36"
"4","38"
"4","66"
"4","68"
"4","69"
"4","70"
"4","82"
"4","91"
"4","92"
"4","99"
"4","102"
"4","104"
"4","115"
"4","117"
"4","126"
"4","129"
"4","130"
"4","156"
"4","164"
"5","5"
"5","14"
"5","15"
"5","25"
"5","34"
"5","36"
"5","38"
"5","66"
"5","68"
"5","69"
"5","70"
"5","82"
"5","91"
"5","92"
"5","99"
"5","102"
"5","104"
"5","115"
"5","117"
"5","126"
"5","129"
"5","130"
"5","156"
"5","164"
"6","5"
"6","14"
"6","15"
"6","25"
"6","34"
"6","36"
"6","38"
"6","63"
"6","66"
"6","68"
"6","69"
"6","70"
"6","82"
"6","89"
"6","90"
"6","91"
"6","92"
"6","99"
"6","102"
"6","104"
"6","115"
"6","117"
"6","126"
"6","129"
"6","130"
"6","156"
"6","164"
"7","5"
"7","25"
"7","34"
"7","36"
"7","38"
"7","55"
"7","57"
"7","58"
"7","59"
"7","61"
"7","66"
"7","68"
"7","69"
"7","70"
"7","91"
"7","92"
"7","99"
"7","102"
"7","104"
"7","115"
"7","117"
"7","130"
"7","156"
"7","164"
"8","5"
"8","25"
"8","34"
"8","36"
"8","38"
"8","55"
"8","57"
"8","58"
"8","59"
"8","61"
"8","66"
"8","68"
"8","69"
"8","70"
"8","91"
"8","92"
"8","99"
"8","102"
"8","104"
"8","115"
"8","117"
"8","130"
"8","156"
"8","164"
"9","5"
"9","25"
"9","34"
"9","36"
"9","38"
"9","55"
"9","57"
"9","58"
"9","59"
"9","61"
"9","63"
"9","66"
"9","68"
"9","69"
"9","70"
"9","89"
"9","90"
"9","91"
"9","92"
"9","99"
"9","102"
